dataType,name,scale,length,defaultValue,lowerBound,upperBound,comment,description
DepartureType,departure_type,,,0,0,6,"journey departure type, #0: launch or direct insertion, #1: depart from parking orbit (you can use this one in place of a launch vehicle model, and the departure burn will be done with the EDS motor), #2: free direct departure, i.e. do not burn to get the departure v_infinity (used for when operations about a small body are not modeled but the departure velocity is known), #3: flyby (only valid for successive journeys), #4: flyby with fixed v-infinity-out (only valid for successive journeys), #5: spiral-out from circular orbit (low-thrust missions only), #6: zero-turn flyby (for small bodies)","journey departure type\n#0: launch or direct insertion\n#1: depart from parking orbit (you can use this one in place of a launch vehicle model, and the departure burn will be done with the EDS motor)\n#2: free direct departure, i.e. do not burn to get the departure v_infinity (used for when operations about a small body are not modeled but the departure velocity is known)\n#3: flyby (only valid for successive journeys)\n#4: flyby with fixed v-infinity-out (only valid for successive journeys)\n#5: spiral-out from circular orbit (low-thrust missions only)\n#6: zero-turn flyby (for small bodies)"
std::vector<double>,initial_impulse_bounds,,2,"[0.0, 6.97]",0,inf,what are the bounds on the initial impulse for each journey in km/s,what are the bounds on the initial impulse for each journey in km/s\\\n#you can set a very high upper bound if you are using a launchy vehicle model - the optimizer will find the correct value
bool,force_free_point_direct_insertion_along_velocity_vector,,,0,0,1,Force free point direct insertion burn to be along the inertial velocity vector?,Force free point direct insertion burn to be along the inertial velocity vector?
std::vector<bool>,departure_elements_vary_flag,,6,"[0,0,0,0,0,0]",0,1,one entry for each element,one entry for each element
std::vector<double>,departure_elements,,6,"[0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"cartesian state or SMA, ECC, INC, RAAN, AOP, TA","cartesian state or SMA, ECC, INC, RAAN, AOP, TA"
std::vector<double>,departure_elements_bounds,,12,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"bounds on elements or state components, two entries for each element","bounds on elements or state components, two entries for each element"
double,departure_elements_reference_epoch,86400,,51544.5,0,inf,MJD,Reference epoch (MJD) for journey departure elements
StateRepresentation,departure_elements_state_representation,,,0,0,6,"departure free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE, MEE, IncomingBplane, OutgoingBplane)","arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE, MEE, IncomingBplane, OutgoingBplane)"
ReferenceFrame,departure_elements_frame,,,0,0,9,"reference frame for journey departure elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM, 9: ObjectReferenced)","reference frame for journey departure elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM, 9: ObjectReferenced)"
bool,AllowJourneyFreePointDepartureToPropagate,,,0,0,1,Allow journey departure free point boundary to propagate (otherwise it is a fixed waypoint),Allow journey departure free point boundary to propagate (otherwise it is a fixed waypoint)
double,maximum_starting_mass_increment,,,0,-inf,inf,negative number indicates mass drop,upper bound on starting mass increment (negative number indicates mass drop) [kg]
double,minimum_starting_mass_increment,,,0,-inf,inf,negative number indicates mass drop,lower bound on starting mass increment (negative number indicates mass drop) [kg]
double,fixed_starting_mass_increment,,,0,-inf,inf,negative number indicates mass drop,starting mass increment (negative number indicates mass drop) [kg]
double,fixed_ending_mass_increment,,,0,-inf,inf,negative number indicates mass drop,ending mass increment (negative number indicates mass drop) [kg]
bool,variable_mass_increment,,,0,0,1,Vary initial mass increment?,Vary initial mass increment?
bool,constrain_initial_mass,,,0,0,1,Constrain initial mass?,Constrain initial mass?
double,maximum_initial_mass,,,0,0,inf,"If initial mass for this journey is constrained, enter the constraint value here.","If initial mass for this journey is constrained, enter the constraint value here."
BoundaryClass,departure_class,,,0,0,3,"journey departure boundary class, #0: Ephemeris-pegged (default EMTG), #1: Free point, #2: Ephemeris-referenced, #3: Periapse",journey departure boundary class\n#0: Ephemeris-pegged (default EMTG)\n#1: Free point\n#2: Ephemeris-referenced\n#3: Periapse
std::vector<double>,departure_ellipsoid_axes,,3,"[1e-8,1e-8,1e-8]",0,inf,journey departure ellipsoid axes (3),journey departure ellipsoid axes (3)
ArrivalType,arrival_type,,,3,0,7,"journey arrival type, #0: insertion into parking orbit (use chemical Isp), #1: rendezvous (use chemical Isp), #2: intercept with bounded V_infinity, #3: low-thrust rendezvous (does not work if terminal phase is not low-thrust), #4: match final v-infinity vector, #5: match final v-infinity vector (low-thrust), #6: capture spiral, #7: momentum transfer (kinetic impactor)",journey arrival type\n#0: insertion into parking orbit (use chemical Isp)\n#1: rendezvous (use chemical Isp)\n#2: intercept with bounded V_infinity\n#3: low-thrust rendezvous (does not work if terminal phase is not low-thrust)\n#4: match final v-infinity vector\n#5: match final v-infinity vector (low-thrust)\n#6: capture spiral\n#7: momentum transfer (kinetic impactor)
std::vector<bool>,arrival_elements_vary_flag,,6,"[0,0,0,0,0,0]",0,1,one entry for each element,one entry for each element
std::vector<double>,arrival_elements,,6,"[0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"cartesian state or SMA, ECC, INC, RAAN, AOP, TA","cartesian state or SMA, ECC, INC, RAAN, AOP, TA"
std::vector<double>,arrival_elements_bounds,,12,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"bounds on elements or state components, two entries for each element","bounds on elements or state components, two entries for each element"
double,arrival_elements_reference_epoch,86400,,51544.5,0,inf,MJD,Reference epoch (MJD) for journey arrival elements
StateRepresentation,arrival_elements_state_representation,,,0,0,6,"arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE, MEE, IncomingBplane, OutgoingBplane)","arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE, MEE, IncomingBplane, OutgoingBplane)"
ReferenceFrame,arrival_elements_frame,,,0,0,9,"reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM, 9: ObjectReferenced)","reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM, 9: ObjectReferenced)"
bool,AllowJourneyFreePointArrivalToPropagate,,,0,0,1,Allow journey arrival free point boundary to propagate (otherwise it is a fixed waypoint),Allow journey arrival free point boundary to propagate (otherwise it is a fixed waypoint)
std::vector<double>,final_velocity,,3,"[0.0, 20.0, 0.0]",0,inf,Bounds on this journey's final velocity (in km/s),Bounds on this journey's final velocity (in km/s)
double,forced_terminal_coast,86400,,0,0,inf,Journey forced terminal coast (in days),Journey forced terminal coast (in days)
double,forced_initial_coast,86400,,0,0,inf,Journey forced initial coast (in days),Journey forced initial coast (in days)
BoundaryClass,arrival_class,,,0,0,3,"journey arrival boundary class, #0: Ephemeris-pegged (default EMTG), #1: Free point, #2: Ephemeris-referenced, #3: Periapse",journey arrival boundary class\n#0: Ephemeris-pegged (default EMTG)\n#1: Free point\n#2: Ephemeris-referenced\n#3: Periapse
std::vector<double>,arrival_ellipsoid_axes,,3,"[1e-8,1e-8,1e-8]",0,inf,journey arrival ellipsoid axes (3),journey arrival ellipsoid axes (3)
double,zero_turn_flyby_distance,,,1000,0,inf,encounter distance (from center of object) for a zero-turn flyby (km),encounter distance (from center of object) for a zero-turn flyby (km)
double,terminal_intercept_flyby_distance,,,1000,0,inf,encounter distance (from center of object) for an ephemeris-pegged intercept (km),encounter distance (from center of object) for an ephemeris-pegged intercept (km)
double,escape_spiral_starting_radius,,,6678,0,inf,Starting orbital radius for an Edelbaum escape spiral (km),Starting orbital radius for an Edelbaum escape spiral (km)
double,escape_spiral_final_radius,,,6678,0,inf,Final orbit radius for an Edelbaum escape spiral (km),Final orbit radius for an Edelbaum capture spiral (km)
double,capture_spiral_final_radius,,,6678,0,inf,Final orbit radius for an Edelbaum capture spiral (km),Final orbit radius for an Edelbaum capture spiral (km)
double,capture_spiral_starting_radius,,,6678,0,inf,Starting orbital radius for an Edelbaum capture spiral (km),Starting orbital radius for an Edelbaum capture spiral (km)
bool,FreePointArrival_print_target_spec,,,1,0,1,Print a target spec for free point arrival at the end of this journey?,Print a target spec for free point arrival at the end of this journey?
double,journey_end_deltav,,,0,0,inf,Journey-end delta-v (km/s),Journey-end delta-v (km/s)
PropulsionSystemChoice,journey_end_propulsion_system,,,0,0,1,"Propulsion system for journey-end maneuver, #0: Monoprop chemical, #1: Biprop chemical, #2: Electric",Propulsion system for journey-end maneuver\n#0: Monoprop chemical\n#1: Biprop chemical\n#2: Electric
std::vector<size_t>,perturbation_bodies,,inf,[],1,inf,Universe file indices of each perturbation body,Which bodies are used for third-body perturbation?\n#Expressed as indices in the Universe file
bool,stage_after_departure,,,0,0,1,Stage after departure?,Stage after departure?
bool,stage_before_arrival,,,0,0,1,Stage before arrival?,Stage before arrival?
bool,stage_after_arrival,,,0,0,1,Stage after arrival?,Stage after arrival?
bool,freeze_decision_variables,,,0,0,1,Freeze this journey's decision variables?,Freeze this journey's decision variables?
double,ephemeris_pegged_orbit_insertion_SMA,,,6678,0,inf,SMA (in km) for ephemeris pegged orbit insertion,SMA (in km) for ephemeris pegged orbit insertion
double,ephemeris_pegged_orbit_insertion_ECC,,,0,0,inf,ECC for ephemeris pegged orbit insertion,ECC for ephemeris pegged orbit insertion
double,impact_momentum_enhancement_factor,,,1,0.0,inf,Impact momentum enhancement factor for planetary defense (also called beta),Impact momentum enhancement factor for planetary defense (also called beta)
bool,perturb_drag,,,0,0,1,Aerodynamic drag?,Aerodynamic drag?
double,spacecraft_drag_area,,,70,0,inf,"spacecraft area (for aerodynamic drag, in m^2)","spacecraft area (for aerodynamic drag, in m^2)"
double,coefficient_of_drag,,,2.2,0,inf,"coefficient of drag, i.e. Cd (unitless)","coefficient of drag, i.e. Cd (unitless)"
std::string,AtmosphericDensityModelKey,,,Exponential,,,Atmospheric density model,Atmospheric density model
std::string,AtmosphericDensityModelDataFile,,,DoesNotExist.emtg_densityopt,,,File defining atmospheric density model,File defining atmospheric density model
double,probe_separation_impulse,,,1,0,inf,Probe separation impulse (Ns),Probe separation impulse (Ns)
double,probe_mass,,,100.0,1e-13,inf,Probe mass (kg),Probe mass (kg)
std::vector<bool>,Probe_AEI_elements_vary_flag,,6,"[0,0,0,0,0,0]",0,1,one entry for each element,one entry for each element
std::vector<double>,Probe_AEI_elements,,6,"[0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"cartesian state or SMA, ECC, INC, RAAN, AOP, TA","cartesian state or SMA, ECC, INC, RAAN, AOP, TA"
std::vector<double>,Probe_AEI_elements_bounds,,12,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"bounds on elements or state components, two entries for each element","bounds on elements or state components, two entries for each element"
double,Probe_AEI_elements_reference_epoch,86400,,51544.5,0,inf,MJD,Reference epoch (MJD) for journey probe arrival elements
StateRepresentation,Probe_AEI_elements_state_representation,,,0,0,3,"probe arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE)","probe arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE)"
ReferenceFrame,Probe_AEI_elements_frame,,,0,0,8,"reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM)","reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM)"
std::vector<bool>,Probe_End_elements_vary_flag,,6,"[0,0,0,0,0,0]",0,1,one entry for each element,one entry for each element
std::vector<double>,Probe_End_elements,,6,"[0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"cartesian state or SMA, ECC, INC, RAAN, AOP, TA","cartesian state or SMA, ECC, INC, RAAN, AOP, TA"
std::vector<double>,Probe_End_elements_bounds,,12,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-inf,inf,"bounds on elements or state components, two entries for each element","bounds on elements or state components, two entries for each element"
double,Probe_End_elements_reference_epoch,86400,,51544.5,0,inf,MJD,Reference epoch (MJD) for journey probe arrival elements
StateRepresentation,Probe_End_elements_state_representation,,,0,0,3,"probe arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE)","probe arrival free point state representation (Cartesian, SphericalRADEC, SphericalAZFPA, COE)"
ReferenceFrame,Probe_End_elements_frame,,,0,0,8,"reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM)","reference frame for journey arrival elements (0: J2000_ICRF, 1: J2000_BCI, 2: J2000_BCF, 3: TrueOfDate_BCI, 4: TrueOfDate_BCF, 5: Principle Axes, 6: Topocentric, 7: Polar, 8: SAM)"
bool,ModelProbeSecondPhase,,,0,0,1,Model the probe's descent phase, or just final approach?,Model the probe's descent phase, or just final approach?
bool,AllowJourneyProbeAEIToPropagate,,,0,0,1,Allow probe AEI free point boundary to propagate (otherwise it is a fixed waypoint),Allow probe AEI free point boundary to propagate (otherwise it is a fixed waypoint)
bool,AllowJourneyProbeEndToPropagate,,,0,0,1,Allow probe end free point boundary to propagate (otherwise it is a fixed waypoint),Allow probe end free point boundary to propagate (otherwise it is a fixed waypoint)
std::vector<double>,probe_communication_distance_bounds,,2,"[2000.0, 10000.0]",0.0,inf,Probe-spacecraft communication distance constraint (km),Probe-spacecraft communication distance constraint (km)
bool,perturb_drag_probe_separation_to_AEI,,,0,0,1,Aerodynamic drag on probe from separation to AEI?,Aerodynamic drag on probe from separation to AEI?
bool,perturb_drag_probe_AEI_to_end,,,0,0,1,Aerodynamic drag on probe from AEI to end of probe mission?,Aerodynamic drag on probe from AEI to end of probe mission?
double,probe_drag_area_probe_separation_to_AEI,,,70,0,inf,"probe area prior to AEI (for aerodynamic drag, in m^2)","probe area prior to AEI (for aerodynamic drag, in m^2)"
double,probe_drag_area_probe_AEI_to_end,,,70,0,inf,"probe area after AEI (for aerodynamic drag, in m^2)","probe area after AEI (for aerodynamic drag, in m^2)"
double,probe_coefficient_of_drag_probe_separation_to_AEI,,,2.2,0,inf,"probe coefficient of drag prior to AEI, i.e. Cd (unitless)","probe coefficient of drag prior to AEI, i.e. Cd (unitless)"
double,probe_coefficient_of_drag_probe_AEI_to_end,,,2.2,0,inf,"probe coefficient of drag after AEI, i.e. Cd (unitless)","probe coefficient of drag after AEI, i.e. Cd (unitless)"
std::vector<double>,probe_AEI_velocity,,3,"[0.0, 20.0, 0.0]",0,inf,"Bounds on the probe's final velocity at AEI (in km/s)","Bounds on the probe's final velocity at AEI (in km/s)"
std::vector<double>,probe_end_velocity,,3,"[0.0, 20.0, 0.0]",0,inf,"Bounds on the probe's final velocity at end of mission (in km/s)","Bounds on the probe's final velocity at end of mission (in km/s)"
double,ProbeSeparationToAEI_MatchPointFraction,,,0.5,0,1,probe separation to AEI match point fraction,probe separation to AEI match point fraction
double,ProbeSeparationToAEI_ForwardIntegrationStepLength,,,86400,0,1000000,probe separation to AEI forward integration step length (seconds),probe separation to AEI forward integration step length (seconds)
double,ProbeSeparationToAEI_BackwardIntegrationStepLength,,,86400,0,1000000,probe separation to AEI backward integration step length (seconds),probe separation to AEI backward integration step length (seconds)
double,ProbeAEI_to_end_MatchPointFraction,,,0.5,0,1,probe AEI to end match point fraction,probe AEI to end match point fraction
double,ProbeAEI_to_end_ForwardIntegrationStepLength,,,86400,0,1000000,probe AEI to end forward integration step length (seconds),probe AEI to end forward integration step length (seconds)
double,ProbeAEI_to_end_BackwardIntegrationStepLength,,,86400,0,1000000,probe AEI to end backward integration step length (seconds),probe AEI to end backward integration step length (seconds)
bool,print_this_journey_options_no_matter_what,,,0,0,1,"Always print this journey's options to the .emtgopt file?","Always print this journey's options to the .emtgopt file?"
